provider,model,pricing_type,input_price,output_price,cache_price,price,price_unit,context_length,currency,retrieved_at
ppio,zai-org/glm-4.7-flash,token,0.5,0.1,3,,,200000,CNY,2026-01-22T15:00:00Z
ppio,MiniMax-M2.1,token,2.1,0.21,8.4,,,204800,CNY,2026-01-22T15:00:00Z
ppio,zai-org/glm-4.7,token,4,0.8,16,,,204800,CNY,2026-01-22T15:00:00Z
ppio,XiaomiMiMo/MiMo-V2-Flash,token,0.7,2.1,,,,262144,CNY,2026-01-22T15:00:00Z
ppio,zai-org/autoglm-phone-9b-multilingual,token,0.25,1,,,,65536,CNY,2026-01-22T15:00:00Z
ppio,Deepseek-V3.2,token,2,3,,,,163840,CNY,2026-01-22T15:00:00Z
ppio,Kimi-K2-Thinking,token,4,1,16,,,262144,CNY,2026-01-22T15:00:00Z
ppio,MiniMax-M2,token,2.1,0.21,8.4,,,204800,CNY,2026-01-22T15:00:00Z
ppio,Deepseek-V3.2-Exp,token,2,3,,,,163840,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-omni-30b-a3b-thinking,token,1.8,6.9,,,,65536,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-vl-235b-a22b-thinking,token,2,20,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-vl-235b-a22b-instruct,token,2,8,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,Deepseek-V3.1-Terminus,token,4,2,12,,,131072,CNY,2026-01-22T15:00:00Z
ppio,zai-org/glm-4.6v,token,2,0.4,6,,,131072,CNY,2026-01-22T15:00:00Z
ppio,zai-org/glm-4.6,token,4,0.8,16,,,204800,CNY,2026-01-22T15:00:00Z
ppio,KAT-Coder-Pro-V1,token,2.1,0.42,8.4,,,256000,CNY,2026-01-22T15:00:00Z
ppio,Deepseek-V3-0324,token,2,0.6,8,,,163840,CNY,2026-01-22T15:00:00Z
ppio,Kimi-K2-0905,token,4,16,,,,262144,CNY,2026-01-22T15:00:00Z
ppio,Deepseek-V3.1,token,4,2,12,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-coder-480b-a35b-instruct,token,4,16,,,,262144,CNY,2026-01-22T15:00:00Z
ppio,Kimi-K2-Instruct,token,4,16,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-235b-a22b-thinking-2507,token,2,20,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-235b-a22b-instruct-2507,token,1.45,5.8,,,,262144,CNY,2026-01-22T15:00:00Z
ppio,zai-org/glm-4.5v,token,4,0.8,12,,,65536,CNY,2026-01-22T15:00:00Z
ppio,zai-org/glm-4.5,token,4,0.8,16,,,131072,CNY,2026-01-22T15:00:00Z
ppio,MiniMax-M1-80k,token,4,16,,,,128000,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-235b-a22b-fp8,token,1.45,5.8,,,,40960,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-32b-fp8,token,0.72,3.26,,,,128000,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-30b-a3b-fp8,token,0.72,3.26,,,,128000,CNY,2026-01-22T15:00:00Z
ppio,Deepseek-Prover-V2-671B,token,4,16,,,,160000,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-coder-30b-a3b-instruct,token,2.25,9,,,,262144,CNY,2026-01-22T15:00:00Z
ppio,DeepSeek-R1-Turbo,token,4,16,,,,64000,CNY,2026-01-22T15:00:00Z
ppio,deepseek/deepseek-r1-0528,token,4,16,,,,163840,CNY,2026-01-22T15:00:00Z
ppio,DeepSeek-V3-Turbo,token,2,8,,,,64000,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-next-80b-a3b-instruct,token,1,4,,,,65536,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-next-80b-a3b-thinking,token,1,10,,,,65536,CNY,2026-01-22T15:00:00Z
ppio,DeepSeek-V3-Community,token,2,8,,,,64000,CNY,2026-01-22T15:00:00Z
ppio,DeepSeek-R1-Community,token,4,16,,,,64000,CNY,2026-01-22T15:00:00Z
ppio,ERNIE-4.5-VL-424B-A47B,token,3,9,,,,123000,CNY,2026-01-22T15:00:00Z
ppio,baidu/ernie-4.5-300b-a47b-paddle,token,2,7,,,,123000,CNY,2026-01-22T15:00:00Z
ppio,DeepSeek-R1-Distill-Llama-70B,token,5.8,5.8,,,,32000,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen-2.5-72b-instruct,token,4,12,,,,32000,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen2.5-vl-72b-instruct,token,4.2,4.2,,,,32000,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen2.5-7b-instruct,token,0.35,0.35,,,,32000,CNY,2026-01-22T15:00:00Z
ppio,Ernie-4.5-21B-A3B-Thinking,token,0.5,2,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-vl-8b-instruct,token,0.5,2,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,zai-org/glm-4.5-air,token,1.2,0.24,2,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-vl-30b-a3b-thinking,token,0.75,7.5,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-vl-30b-a3b-instruct,token,0.75,3,,,,131072,CNY,2026-01-22T15:00:00Z
ppio,qwen/qwen3-omni-30b-a3b-instruct,token,1.8,6.9,,,,65536,CNY,2026-01-22T15:00:00Z
ppio,ERNIE-4.5-0.3B,free,,,,,,120000,CNY,2026-01-22T15:00:00Z
ppio,ERNIE-4.5-21B-A3B,token,0.5,2,,,,120000,CNY,2026-01-22T15:00:00Z
